epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6253,0.75337,1.50795,1.09009,0.69223,0.53028,0.70547,0.57612,0.64235,1.72716,0.95576,0.000651515,0.000651515,0.000651515
2,168.141,0.76755,1.04994,1.09362,0.62979,0.60163,0.61904,0.45785,0.77517,1.77904,1.14917,0.00129208,0.00129208,0.00129208
3,269.124,0.80573,1.02681,1.12645,0.8115,0.78753,0.84664,0.67137,0.75654,1.23677,1.09676,0.00190625,0.00190625,0.00190625
4,360.403,0.81993,0.94909,1.11846,0.84751,0.79075,0.88259,0.71704,0.71795,1.07331,1.06329,0.0018812,0.0018812,0.0018812
5,450.493,0.79064,0.88908,1.11863,0.8537,0.79462,0.8742,0.70326,0.72365,0.93782,1.07942,0.0018416,0.0018416,0.0018416
6,561.503,0.78501,0.85112,1.10702,0.89757,0.79675,0.90583,0.75334,0.65583,0.87665,1.02557,0.001802,0.001802,0.001802
7,670.095,0.75999,0.79739,1.10098,0.77978,0.73171,0.80191,0.67452,0.67525,1.01171,1.04102,0.0017624,0.0017624,0.0017624
8,780.945,0.7366,0.77894,1.0874,0.87798,0.88415,0.92686,0.79131,0.57223,0.71877,0.97398,0.0017228,0.0017228,0.0017228
9,885.238,0.73905,0.76851,1.08711,0.94702,0.84553,0.94001,0.80417,0.56145,0.64949,0.96414,0.0016832,0.0016832,0.0016832
10,972.828,0.71252,0.74145,1.08124,0.9138,0.88336,0.946,0.81498,0.56897,0.62663,0.97776,0.0016436,0.0016436,0.0016436
11,1056.31,0.69058,0.69672,1.06101,0.88958,0.87398,0.93017,0.78134,0.60465,0.6932,0.98562,0.001604,0.001604,0.001604
12,1139.79,0.70008,0.71665,1.0742,0.91613,0.88211,0.94189,0.81192,0.55897,0.61462,0.95095,0.0015644,0.0015644,0.0015644
13,1223.52,0.65905,0.65916,1.04705,0.93074,0.84667,0.9374,0.81414,0.54323,0.5952,0.95881,0.0015248,0.0015248,0.0015248
14,1307.11,0.64657,0.64759,1.03364,0.93809,0.86241,0.95037,0.83808,0.5058,0.54774,0.93598,0.0014852,0.0014852,0.0014852
15,1391.95,0.64921,0.64753,1.0524,0.91539,0.85569,0.92826,0.81291,0.55404,0.63519,0.98098,0.0014456,0.0014456,0.0014456
16,1496.99,0.66865,0.63737,1.05711,0.94484,0.86789,0.95187,0.83737,0.53258,0.56102,0.94541,0.001406,0.001406,0.001406
17,1602.09,0.63907,0.62703,1.03429,0.92134,0.88089,0.95053,0.85341,0.49581,0.51977,0.91846,0.0013664,0.0013664,0.0013664
18,1695.5,0.6432,0.62086,1.03627,0.95266,0.89979,0.96022,0.85206,0.51507,0.49449,0.94089,0.0013268,0.0013268,0.0013268
19,1811.08,0.64421,0.61469,1.04035,0.95235,0.89362,0.96191,0.85822,0.48801,0.49527,0.94084,0.0012872,0.0012872,0.0012872
20,1919.89,0.63758,0.62549,1.04749,0.93906,0.90831,0.96327,0.85463,0.50775,0.46649,0.94421,0.0012476,0.0012476,0.0012476
21,2031.08,0.61165,0.59016,1.02401,0.92835,0.89539,0.9517,0.84239,0.50615,0.49659,0.95517,0.001208,0.001208,0.001208
22,2143.76,0.59817,0.58416,1.02347,0.955,0.88618,0.9631,0.85674,0.48037,0.46669,0.918,0.0011684,0.0011684,0.0011684
23,2256.28,0.58828,0.56565,1.01531,0.95929,0.90996,0.96357,0.86073,0.49162,0.47304,0.91843,0.0011288,0.0011288,0.0011288
24,2364.78,0.58965,0.55672,1.014,0.96203,0.92688,0.97685,0.8776,0.44655,0.42424,0.9096,0.0010892,0.0010892,0.0010892
25,2462.71,0.57812,0.54967,1.01352,0.92535,0.93216,0.96225,0.87559,0.4414,0.45066,0.91227,0.0010496,0.0010496,0.0010496
26,2564.03,0.5884,0.56097,1.0182,0.94616,0.9248,0.97016,0.8674,0.4614,0.45114,0.90683,0.00101,0.00101,0.00101
27,2680.16,0.58772,0.56835,1.01777,0.95156,0.91057,0.96784,0.87651,0.43985,0.41568,0.90828,0.0009704,0.0009704,0.0009704
28,2792.64,0.56714,0.54574,1.0112,0.95135,0.91414,0.95997,0.87713,0.4458,0.42905,0.90132,0.0009308,0.0009308,0.0009308
29,2903.62,0.55947,0.53081,1.00604,0.95927,0.90949,0.95996,0.87206,0.43671,0.43566,0.90078,0.0008912,0.0008912,0.0008912
30,3019.5,0.55124,0.53148,1.00313,0.9689,0.88643,0.9645,0.86924,0.44075,0.42586,0.89398,0.0008516,0.0008516,0.0008516
31,3130.5,0.54915,0.52316,0.99451,0.95559,0.9184,0.96847,0.87417,0.45994,0.42968,0.90374,0.000812,0.000812,0.000812
32,3244.09,0.52852,0.49459,0.9859,0.93912,0.94055,0.97235,0.89501,0.40676,0.38742,0.88928,0.0007724,0.0007724,0.0007724
33,3357.16,0.53061,0.50639,0.98792,0.94848,0.93293,0.97842,0.90359,0.40151,0.38311,0.87694,0.0007328,0.0007328,0.0007328
34,3459.85,0.5271,0.48863,0.98871,0.96822,0.92898,0.97886,0.90087,0.40691,0.35566,0.87922,0.0006932,0.0006932,0.0006932
35,3547.9,0.5345,0.49302,0.98828,0.95234,0.93405,0.97619,0.90563,0.39587,0.35907,0.8794,0.0006536,0.0006536,0.0006536
36,3646.09,0.51675,0.48112,0.98378,0.96264,0.94261,0.97761,0.90645,0.39234,0.36075,0.86951,0.000614,0.000614,0.000614
37,3755.94,0.51189,0.4639,0.98205,0.96427,0.93247,0.97447,0.89963,0.39768,0.37138,0.87449,0.0005744,0.0005744,0.0005744
38,3845.92,0.52279,0.4842,0.98613,0.9532,0.95528,0.97886,0.9091,0.37482,0.3442,0.86343,0.0005348,0.0005348,0.0005348
39,3932.69,0.50006,0.477,0.97694,0.96669,0.94363,0.97955,0.91189,0.37603,0.3372,0.86317,0.0004952,0.0004952,0.0004952
40,4020.56,0.51609,0.47847,0.98717,0.95523,0.95528,0.97984,0.91776,0.36702,0.32741,0.86979,0.0004556,0.0004556,0.0004556
41,4105.02,0.41466,0.38285,0.92151,0.96758,0.95325,0.97792,0.91401,0.36469,0.33011,0.86456,0.000416,0.000416,0.000416
42,4189.52,0.41617,0.35571,0.91771,0.97897,0.94625,0.98249,0.91037,0.37404,0.3178,0.86261,0.0003764,0.0003764,0.0003764
43,4275.41,0.41369,0.35471,0.92845,0.9706,0.93902,0.97813,0.92157,0.35213,0.3158,0.86353,0.0003368,0.0003368,0.0003368
44,4361.8,0.41085,0.35021,0.92505,0.97127,0.96202,0.98327,0.92042,0.35237,0.30952,0.85479,0.0002972,0.0002972,0.0002972
45,4445.98,0.39025,0.33406,0.90982,0.979,0.94732,0.98225,0.91787,0.35677,0.31022,0.85822,0.0002576,0.0002576,0.0002576
46,4528.41,0.3955,0.33109,0.91236,0.98315,0.94885,0.98186,0.91883,0.36577,0.30715,0.86256,0.000218,0.000218,0.000218
47,4624.65,0.38557,0.32197,0.90323,0.96677,0.95528,0.98269,0.91753,0.36779,0.31136,0.85786,0.0001784,0.0001784,0.0001784
48,4738.5,0.38253,0.31319,0.90511,0.9737,0.95935,0.98378,0.91938,0.35038,0.29805,0.85308,0.0001388,0.0001388,0.0001388
49,4856.17,0.37434,0.31168,0.90416,0.97915,0.95471,0.98476,0.92143,0.34795,0.29073,0.85249,9.92e-05,9.92e-05,9.92e-05
50,4970.75,0.36804,0.31054,0.90617,0.98254,0.94919,0.98511,0.92102,0.34887,0.29296,0.84988,5.96e-05,5.96e-05,5.96e-05
